"Gender" "Category" "Swim" "Bike" "Run" "Overall"
"89" "M" "30-34" 1.032777768 5.27388888 3.047222232 9.436666656
"90" "M" "30-34" 1.127500008 4.825833336 3.413611104 9.437777784
"91" "F" "PRO" 1.105833336 5.101944456 3.154999992 9.440277768
"92" "M" "35-39" 1.064166672 4.97861112 3.296388888 9.440555544
"93" "M" "30-34" 1.00194444 5.033333328 3.32694444 9.441666672
"94" "M" "35-39" 1.063333344 5.096111112 3.213888888 9.444444456
"95" "M" "PRO" 1.027222224 5.118888888 3.198611112 9.446111112
"96" "M" "30-34" 1.078055544 5.057222232 3.219444456 9.450555552
"97" "M" "30-34" 1.17888888 4.956666672 3.19944444 9.453333336
"98" "M" "30-34" 1.011388896 5.10138888 3.250000008 9.465555552
"99" "M" "25-29" 0.968611104 5.19138888 3.226666656 9.46944444
"100" "M" "35-39" 0.906944448 5.296666656 3.147777768 9.471666672
"101" "F" "PRO" 0.93305556 5.358333336 3.104444448 9.481666656
"102" "M" "35-39" 1.100555544 5.146944456 3.143611104 9.487222224
"103" "M" "25-29" 1.012222224 4.902777768 3.492499992 9.490833336
"104" "M" "40-44" 1.063055544 5.023055544 3.325833336 9.491111112
"105" "M" "40-44" 0.96611112 5.211944448 3.22194444 9.491666664
"106" "M" "35-39" 1.116388896 5.177777784 3.097777776 9.495
"107" "M" "35-39" 1.192777776 4.942777776 3.258888888 9.495277776
"108" "M" "35-39" 1.119722232 5.171666664 3.0975 9.497500008
"109" "M" "30-34" 0.927777768 5.142499992 3.309166656 9.498888888
"110" "M" "30-34" 1.056666672 5.20944444 3.130277784 9.500833344
"111" "M" "35-39" 1.10694444 4.983888888 3.330833328 9.500833344
"112" "M" "18-24" 1.094722224 5.254722216 3.069166656 9.501666672
"113" "M" "25-29" 0.96888888 5.196388896 3.261388896 9.506666664
"114" "M" "30-34" 1.130555544 4.969166664 3.288611112 9.509166672
"115" "M" "35-39" 1.126944456 5.068333344 3.201388896 9.511111104
"116" "M" "40-44" 1.124722224 4.964444448 3.308333328 9.512222232
"117" "M" "30-34" 1.070833344 4.956944448 3.381666672 9.517222224
"118" "M" "40-44" 1.13861112 4.954722216 3.33138888 9.51888888
"119" "M" "25-29" 1.185833328 5.089166664 3.119722224 9.519444456
"120" "M" "30-34" 0.970833336 5.079444456 3.344166672 9.524166672
"121" "M" "30-34" 1.16555556 5.186111112 3.081944448 9.525833328
