age spr agi dri bc sho hei wei apl
12 3.63 8.16 10.05 9.86 15 140 33 3
12 3.51 8.18 11.2 12.99 17 141 35 3
11 3.59 8.11 11.51 9.78 23 152 45 3
11 3.27 8.69 11.3 10.03 22 157 41 3
11 3.61 8.51 11.8 9.41 18 150 36 3
11 4.17 9.64 12.41 10.02 18 154 41 3
12 3.82 9.34 12.51 12.22 999 156 48 3
11 3.83 9.21 13.5 13.91 20 152 42 3
11 3.68 7.91 11.53 13.92 17 149 35 3
11 3.83 7.81 11.02 10.99 24 136 32 3
12 3.68 7.87 11.39 12.71 20 144 33 3
11 3.68 8.18 11.49 11.45 11 153 48 3
11 3.65 8.99 12.14 12.09 12 151 42 3
12 3.85 8.2 12.1 13.43 18 146 41 3
11 3.76 8.45 11.93 13.54 15 148 45 3
11 3.65 7.21 11.59 11.76 13 149 45 3
12 3.39 9.38 13.29 14.09 23 145 36 3
11 4 9.51 12.41 12.31 8 152 41 3
11 3.9 8.41 13.28 13.09 20 138 32 3
11 3.58 8.76 999 999 18 147 40 3
11 3.97 8.28 12.17 13.37 16 148 40 3
11 3.41 8.01 10.78 10.32 25 152 37 3
11 3.56 8.12 10.88 11.23 12 144 33 3
11 3.44 8.24 11.45 10.54 19 144 53 3
12 3.86 8.91 10.97 10.65 10 142 39 3
11 3.78 8.07 11.09 10.1 22 144 36 3
12 3.72 8.87 13.43 12.09 25 139 30.5 3
11 3.64 8.46 11.99 11.86 17 142 32.8 3
11 3.66 7.92 10 9.25 13 138 31 3
12 3.65 8.56 11.99 12.48 21 141 30 3
11 3.83 8.3 11.9 10.29 20 150 36 3
12 4.06 9.16 11.91 11.46 18 145 40 3
12 3.87 8.48 10.61 11.27 17 140 36 2
12 3.5 8.13 12.22 12.87 18 154 42 2
11 3.47 8.62 10.92 12.29 15 146 44 3
12 3.42 8.3 10.96 10.87 14 169 63 1
11 3.99 9.97 12.71 11.8 17 143 38 3
11 3.49 7.48 11.08 9.63 15 145 33 2
11 3.62 8.21 10.73 11.3 11 160 49 2
12 3.54 9.13 12.78 12.5 11 140 36 3
12 3.81 8.79 12 999 24 140 30 3
12 3.72 8.7 11.46 20 17 157 39 3
12 3.59 8.14 10.54 999 18 154 35 3
11 3.63 8.42 12.26 9.3 17 156 42 3
11 3.57 7.87 10.66 7.75 16 154 46 3
11 3.76 8.4 10.96 11.09 18 152 40 3
12 3.8 8.76 13.53 11.35 18 151 39 3
12 3.63 8.9 11.9 10.8 17 140 35 3
12 3.48 9.1 12.2 12.6 10 140 36 3
12 4.28 9.54 12.81 16.73 22 150 49 3
11 3.83 8.47 11.28 10.14 20 151 30 3
12 3.59 9.44 13.28 16.25 18 155 37 3
11 3.66 9.67 13.12 11.28 20 164 50 3
11 3.97 9.94 14.75 11.49 18 161 50 3
11 3.43 9.29 13.66 13.75 18 140 30 3
11 3.53 9.03 13.57 11.03 15 153 41 3
11 3.69 10 13.66 18.22 20 150 45 3
11 3.76 8.82 9 11.12 10 154 55 3
11 3.75 8.08 10.95 11.39 13 137 30 3
12 3.54 8.28 11.44 10.25 11 150 37 3
11 3.7 8.8 11.33 11.27 15 142 35 3
12 3.69 9 12.99 12.08 20 143 36 3
12 3.56 8.07 11.29 10.13 22 155 40 3
11 3.58 8.34 10.26 11.53 999 144 35 3
12 3.86 9.31 13.35 11.19 20 178 50 3
11 3.46 8.37 11.44 9 20 157 54 1
12 3.5 8.54 12.5 11.53 13 169 52 3
11 3.57 9.26 12.38 12.43 5 148 40.7 3
11 3.47 8.38 10.57 8.42 19 142 30 2
11 3.54 8.68 12.5 9.5 20 152 46 3
11 3.52 8.47 10.87 10.42 13 159 47 2
11 3.64 7.71 11.94 14.45 21 152 39 3
11 3.87 8.97 12.9 11.18 15 148 37.7 3
11 3.52 7.97 10.2 9.81 17 151 44 3
11 3.43 7.95 12.38 10.88 19 169 48 3
11 3.79 9.11 12.01 11.72 15 153 40.4 3
11 3.94 9.84 12.02 9.5 22 148 38 3
11 3.69 8.57 11.88 11.7 20 154 42 3
12 3.58 8.36 13.14 12.9 22 153 40 3
12 3.79 8.28 11.1 12.8 15 156 38.4 3
12 3.79 8.62 10.76 10.82 16 153 41 3
11 3.97 9.44 12.38 9.98 14 151 40 3
11 3.91 8.94 11.14 8.77 15 153 41 3
11 3.82 8.94 12.34 8.97 13 152 42 3
11 3.53 8.06 12.64 12.36 20 154 41 3
11 3.62 8.61 11.56 9.41 22 153 50 3
11 3.51 8.61 12.23 10.85 15 153 38 3
11 3.43 8.16 10.24 9.12 17 148 36 3
